parent_id,name,name_bn,slug,description,order,is_active
40,Plumbing,প্লাম্বিং,plumbing,Plumbers and pipefitters,3,1
40,Electrical Trades,বৈদ্যুতিক ব্যবসা,electrical-trades,Electricians and technicians,4,1
40,Welding,ওয়েল্ডিং,welding,Welders and metal fabricators,5,1
40,HVAC,এইচভিএসি,hvac,Heating ventilation and air conditioning,6,1
,Education & Training,শিক্ষা ও প্রশিক্ষণ,education-training,Teaching and educational roles,9,1
46,School Teaching,স্কুল শিক্ষকতা,school-teaching,Primary and secondary teachers,1,1
46,Higher Education,উচ্চশিক্ষা,higher-education,University professors and lecturers,2,1
46,Corporate Training,কর্পোরেট প্রশিক্ষণ,corporate-training,Corporate trainers and coaches,3,1
46,Special Education,বিশেষ শিক্ষা,special-education,Special needs educators,4,1
,Transportation & Logistics,পরিবহন ও সরবরাহ,transportation-logistics,Transport and supply chain jobs,10,1
50,Driving,চালনা,driving,Professional drivers and operators,1,1
50,Supply Chain Management,সাপ্লাই চেইন ব্যবস্থাপনা,supply-chain-management,Supply chain and logistics managers,2,1
50,Warehouse Operations,গুদাম পরিচালনা,warehouse-operations,Warehouse staff and supervisors,3,1
50,Freight & Shipping,মালবাহী ও শিপিং,freight-shipping,Freight coordinators and shippers,4,1
,Legal,আইনি,legal,Legal professionals and services,11,1
54,Lawyers & Attorneys,আইনজীবী,lawyers-attorneys,Legal practitioners and advocates,1,1
54,Paralegals,প্যারালিগাল,paralegals,Legal assistants and paralegals,2,1
54,Legal Consulting,আইনি পরামর্শ,legal-consulting,Legal consultants and advisors,3,1
,Agriculture,কৃষি,agriculture,Agricultural and farming jobs,12,1
57,Farm Management,খামার ব্যবস্থাপনা,farm-management,Farm managers and supervisors,1,1
57,Crop Production,ফসল উৎপাদন,crop-production,Crop farmers and cultivators,2,1
57,Animal Husbandry,পশুপালন,animal-husbandry,Livestock and poultry farmers,3,1
57,Agricultural Technology,কৃষি প্রযুক্তি,agricultural-technology,Agricultural technicians and scientists,4,1
,Manufacturing,উৎপাদন,manufacturing,Manufacturing and production jobs,13,1
61,Production Management,উৎপাদন ব্যবস্থাপনা,production-management,Production managers and supervisors,1,1
61,Quality Control,গুণমান নিয়ন্ত্রণ,quality-control,Quality assurance and inspectors,2,1
61,Machine Operation,যন্ত্র পরিচালনা,machine-operation,Machine operators and technicians,3,1
61,Assembly Line,সমাবেশ লাইন,assembly-line,Assembly workers and technicians,4,1
,Media & Communications,মিডিয়া ও যোগাযোগ,media-communications,Media journalism and communications,14,1
65,Journalism,সাংবাদিকতা,journalism,Reporters and journalists,1,1
65,Content Creation,কন্টেন্ট তৈরি,content-creation,Content writers and creators,2,1
65,Broadcasting,সম্প্রচার,broadcasting,TV and radio broadcasters,3,1
65,Public Relations,জনসংযোগ,public-relations,PR specialists and communications,4,1
,Retail & Customer Service,খুচরা ও গ্রাহক সেবা,retail-customer-service,Retail sales and customer service,15,1
69,Retail Management,খুচরা ব্যবস্থাপনা,retail-management,Store managers and supervisors,1,1
69,Sales Associates,বিক্রয় সহযোগী,sales-associates,Sales staff and representatives,2,1
69,Customer Service,গ্রাহক সেবা,customer-service,Customer support representatives,3,1
69,Cashiers,ক্যাশিয়ার,cashiers,Cashiers and checkout operators,4,1
